date,Bitcoin (:BTC_over_USD),Ethereum (:ETH_over_USD)
2016-03-09,410.35,10.3
2016-03-10,413.01,11.2
2016-03-11,416.63,11.75
2016-03-12,420.22,11.95
2016-03-13,410.56,12.92
2016-03-14,412.26,15.07
2016-03-15,415.99,12.63
2016-03-16,416.2,13.06
2016-03-17,417.48,12.58
2016-03-18,417.96,11.09
2016-03-19,407.55,10.97
2016-03-20,409.01,10.55
2016-03-21,411.0,10.18
2016-03-22,411.05,11.53
2016-03-23,417.4,11.37
2016-03-24,417.32,12.43
2016-03-25,414.62,11.32
2016-03-26,416.16,10.67
2016-03-27,416.71,10.93
2016-03-28,426.73,10.4
2016-03-29,424.03,11.78
2016-03-30,415.21,11.79
2016-03-31,414.98,11.92
2016-04-01,416.21,11.41
2016-04-02,417.55,11.65
2016-04-03,420.49,11.61
2016-04-04,420.96,11.6
2016-04-05,420.01,11.15
2016-04-06,424.0,10.4
2016-04-07,422.34,10.76
2016-04-08,421.34,10.05
2016-04-09,418.42,9.692
2016-04-10,418.36,9.15
2016-04-11,421.43,8.56
2016-04-12,424.99,8.531
2016-04-13,426.01,7.483
2016-04-14,424.71,8.081
2016-04-15,426.01,8.392
2016-04-16,431.32,8.23
2016-04-17,432.32,8.7
2016-04-18,428.97,9.302
2016-04-19,430.27,8.973
2016-04-20,438.35,8.73
2016-04-21,443.1,8.614
2016-04-22,452.04,8.23
2016-04-23,447.8,7.948
2016-04-24,453.68,8.348
2016-04-25,463.22,8.05
2016-04-26,463.89,7.56
2016-04-27,468.59,7.398
2016-04-28,444.98,7.725
2016-04-29,450.6,7.234
2016-04-30,455.97,7.45
2016-05-01,447.78,8.742
2016-05-02,451.82,8.828
2016-05-03,443.81,10.01
2016-05-04,450.87,9.382
2016-05-05,447.25,9.4
2016-05-06,448.6,9.849
2016-05-07,461.52,9.449
2016-05-08,459.04,9.414
2016-05-09,458.4,9.51
2016-05-10,461.99,9.311
2016-05-11,451.84,9.382
2016-05-12,451.67,9.919
2016-05-13,455.1,10.09
2016-05-14,456.25,10.6
2016-05-15,455.79,10.25
2016-05-16,457.77,10.01
2016-05-17,453.02,11.15
2016-05-18,452.59,12.28
2016-05-19,453.94,13.4
2016-05-20,436.23,14.74
2016-05-21,442.11,13.6
2016-05-22,440.65,14.06
2016-05-23,437.78,14.21
2016-05-24,443.24,13.38
2016-05-25,445.84,12.84
2016-05-26,448.85,12.52
2016-05-27,453.99,12.4
2016-05-28,472.99,10.99
2016-05-29,527.0,11.8
2016-05-30,531.05,12.44
2016-05-31,535.66,12.78
2016-06-01,531.04,14.07
2016-06-02,536.02,13.94
2016-06-03,539.52,13.82
2016-06-04,570.0,13.9
2016-06-05,573.74,13.75
2016-06-06,575.28,14.0
2016-06-07,585.95,13.94
2016-06-08,576.6,14.6
2016-06-09,578.23,14.51
2016-06-10,576.3,14.44
2016-06-11,581.2,13.95
2016-06-12,611.28,14.3
2016-06-13,666.39,15.75
2016-06-14,700.21,17.65
2016-06-15,681.28,18.7
2016-06-16,713.99,18.61
2016-06-17,772.14,20.86
2016-06-18,748.0,15.19
2016-06-19,755.86,10.76
2016-06-20,763.45,12.33
2016-06-21,694.06,11.67
2016-06-22,673.2,13.75
2016-06-23,595.88,13.26
2016-06-24,627.5,13.76
2016-06-25,665.63,14.39
2016-06-26,665.06,14.22
2016-06-27,623.0,13.71
2016-06-28,660.98,13.95
2016-06-29,644.98,12.08
2016-06-30,641.85,12.64
2016-07-01,669.5,12.5
2016-07-02,675.83,12.17
2016-07-03,702.46,12.06
2016-07-04,659.93,11.65
2016-07-05,680.07,11.42
2016-07-06,669.65,10.37
2016-07-07,677.01,10.58
2016-07-08,640.57,10.16
2016-07-09,661.18,11.37
2016-07-10,647.02,10.83
2016-07-11,650.59,10.95
2016-07-12,648.83,10.48
2016-07-13,667.31,10.55
2016-07-14,656.64,10.7
2016-07-15,660.6,11.5
2016-07-16,667.49,11.95
2016-07-17,664.41,11.72
2016-07-18,683.99,11.31
2016-07-19,673.19,11.09
2016-07-20,675.08,11.7
2016-07-21,665.6,12.52
2016-07-22,663.65,12.67
2016-07-23,649.29,14.55
2016-07-24,655.77,14.33
2016-07-25,663.6,12.86
2016-07-26,653.28,13.55
2016-07-27,653.35,12.01
2016-07-28,656.93,12.93
2016-07-29,656.44,12.87
2016-07-30,659.79,12.85
2016-07-31,653.9,12.45
2016-08-01,623.54,12.0
2016-08-02,611.38,11.04
2016-08-03,604.1,10.16
2016-08-04,604.1,10.16
2016-08-05,604.1,10.16
2016-08-06,604.1,10.16
2016-08-07,604.1,10.16
2016-08-08,604.1,10.16
2016-08-09,604.1,10.16
2016-08-10,609.0,11.99
2016-08-11,590.07,11.9
2016-08-12,591.91,11.71
2016-08-13,585.6,11.69
2016-08-14,582.18,11.48
2016-08-15,569.95,11.16
2016-08-16,566.47,11.15
2016-08-17,574.51,11.07
2016-08-18,571.81,10.72
2016-08-19,572.15,10.69
2016-08-20,573.68,10.69
2016-08-21,580.91,11.26
2016-08-22,581.91,11.2
2016-08-23,587.61,11.14
2016-08-24,583.47,11.03
2016-08-25,580.76,10.98
2016-08-26,577.24,11.39
2016-08-27,578.07,11.26
2016-08-28,569.45,11.11
2016-08-29,575.98,10.94
2016-08-30,574.77,11.03
2016-08-31,578.99,11.33
2016-09-01,577.14,11.66
2016-09-02,571.76,12.22
2016-09-03,580.56,12.13
2016-09-04,608.07,11.88
2016-09-05,611.73,11.73
2016-09-06,611.91,11.85
2016-09-07,615.49,11.73
2016-09-08,619.19,11.64
2016-09-09,631.99,11.45
2016-09-10,626.27,11.72
2016-09-11,626.37,12.13
2016-09-12,611.52,11.8
2016-09-13,611.8,12.0
