Closing Date,Chevron Corporation (NYSE:CVX),Exxon Mobil Corporation (NYSE:XOM),Microsoft Corporation (NasdaqGS:MSFT),Apple Inc. (NasdaqGS:AAPL),Bank of America Corporation (NYSE:BAC),JPMorgan Chase & Co. (NYSE:JPM),Walmart Inc. (NYSE:WMT),Target Corporation (NYSE:TGT),The Coca-Cola Company (NYSE:KO),"PepsiCo, Inc. (NasdaqGS:PEP)",Johnson & Johnson (NYSE:JNJ),Abbott Laboratories (NYSE:ABT),The Procter & Gamble Company (NYSE:PG),Unilever PLC (LSE:ULVR),The Boeing Company (NYSE:BA),Airbus SE (ENXTPA:AIR),Caterpillar Inc. (NYSE:CAT),Deere & Company (NYSE:DE),Wells Fargo & Company (NYSE:WFC),Citigroup Inc. (NYSE:C),"Meta Platforms, Inc. (NasdaqGS:META)",Alphabet Inc. (NasdaqGS:GOOGL)
2010-01-04,79.06,69.15,30.95,7.64,15.69,42.85,54.23,48.55,28.52,61.24,64.68,54.46,61.12,19.96,56.18,13.99,58.55,56.06,27.32,34.00,,
2010-01-05,79.62,69.42,30.96,7.66,16.20,43.68,53.69,48.73,28.18,61.98,63.93,54.02,61.14,19.53,58.02,13.945,59.25,55.85,28.07,35.30,,
2010-01-06,79.63,70.02,30.77,7.53,16.39,43.92,53.57,49.66,28.17,61.36,64.45,54.32,60.85,19.55,59.78,14.07,59.43,55.70,28.11,36.40,,
2010-01-07,79.33,69.80,30.45,7.52,16.93,44.79,53.60,50.27,28.10,60.97,63.99,54.77,60.52,19.31,62.20,14.21,59.67,56.10,29.13,36.50,,
2010-01-08,79.47,69.52,30.66,7.57,16.78,44.68,53.33,50.07,27.58,60.77,64.21,55.05,60.44,19.36,61.60,14.35,60.34,57.63,28.86,35.90,,
2010-01-11,80.88,70.30,30.27,7.50,16.93,44.53,54.21,50.18,28.14,60.70,64.22,55.33,60.20,19.3,60.87,14.48,64.13,59.95,28.80,36.30,,
2010-01-12,80.41,69.95,30.07,7.42,16.36,43.49,54.73,49.34,28.44,61.55,64.56,55.17,60.89,19.29,60.43,14.1,62.24,57.39,28.08,35.20,,
2010-01-13,79.80,69.67,30.35,7.52,16.62,44.25,55.01,49.34,28.52,62.05,64.97,55.29,61.52,19.31,61.16,14.105,62.33,58.29,28.58,35.00,,
2010-01-14,79.55,69.68,30.96,7.48,16.82,44.69,54.21,50.10,28.57,62.80,65.10,55.35,61.58,19.45,61.56,14.23,61.98,58.35,28.99,35.10,,
2010-01-15,79.23,69.11,30.86,7.35,16.26,43.68,53.68,50.17,28.15,62.29,64.56,55.49,60.82,19.31,60.82,14.43,60.12,56.33,28.08,34.20,,
2010-01-19,79.68,69.27,31.10,7.68,16.32,43.28,54.03,51.20,28.21,62.33,65.35,56.20,61.72,19.72,60.65,14.805,60.93,57.66,28.28,35.40,,
2010-01-20,78.15,68.03,30.59,7.56,16.49,43.40,53.86,50.72,27.75,61.95,65.15,56.24,60.45,19.51,60.20,14.815,59.76,56.11,27.82,34.60,,
2010-01-21,76.24,66.70,30.01,7.43,15.47,40.54,52.92,50.22,27.19,60.94,63.97,55.56,59.84,19.4,59.20,14.4,56.85,55.45,28.00,32.70,,
2010-01-22,74.59,66.10,28.96,7.06,14.90,39.16,52.94,50.38,27.12,60.39,63.20,54.51,60.31,19.28,57.77,14.185,54.25,53.02,27.26,32.50,,
2010-01-25,74.55,65.85,29.32,7.25,14.98,39.21,52.88,50.77,27.18,60.23,63.22,54.70,60.63,19.11,57.78,13.955,55.14,53.69,27.66,32.30,,
2010-01-26,74.15,65.92,29.50,7.36,14.77,38.44,53.61,52.02,27.07,60.25,62.79,54.48,60.69,19.09,57.71,14.01,55.85,53.41,26.99,31.50,,
2010-01-27,73.70,65.54,29.67,7.42,15.19,39.33,53.40,51.96,27.26,60.29,63.44,53.90,60.81,18.95,61.93,13.795,53.44,52.39,28.20,32.00,,
2010-01-28,73.24,64.96,29.16,7.12,15.37,39.48,52.61,51.91,27.09,59.74,63.80,53.95,61.68,18.91,62.56,13.775,51.86,51.11,28.45,32.40,,
2010-01-29,72.12,64.43,28.18,6.86,15.18,38.94,53.43,51.27,27.13,59.62,62.86,52.94,61.55,19.1,60.60,14.2,52.24,49.95,28.43,33.20,,
2010-02-01,73.58,66.18,28.41,6.95,15.42,39.63,53.48,51.09,27.19,60.70,63.09,53.34,61.99,19.06,61.70,14.275,52.94,51.35,28.93,33.40,,
2010-02-02,74.45,66.96,28.46,7.00,15.60,40.55,53.49,50.82,27.53,61.15,63.99,54.44,62.90,19.35,61.94,14.61,53.55,52.45,28.79,34.10,,
2010-02-03,73.21,66.60,28.63,7.12,15.53,40.29,54.27,50.60,27.44,61.29,63.63,54.65,62.65,19.34,61.46,14.625,53.39,51.84,28.14,33.70,,
2010-02-04,71.37,64.72,27.84,6.86,14.75,38.35,52.97,49.07,26.72,59.64,62.64,53.82,61.40,18.67,59.32,14.25,51.40,49.87,27.06,31.80,,
2010-02-05,71.18,64.80,28.02,6.98,15.00,38.30,53.45,49.30,26.55,59.51,62.64,53.97,61.30,18.18,58.40,14.1,51.75,49.82,27.42,32.20,,
2010-02-08,70.13,64.35,27.72,6.93,14.48,37.70,52.93,48.78,26.33,58.96,62.37,53.35,61.01,18.44,57.89,14.01,50.78,48.96,26.43,31.50,,
