date,Bitcoin (:BTC),Ethereum (:ETH)
2022-06-01,31798.25895,1941.3
2022-06-02,29843.0,1820.9
2022-06-03,30473.75559,1836.0
2022-06-04,29719.0,1776.6
2022-06-05,29873.0,1805.3
2022-06-06,29934.0,1806.8606
2022-06-07,31371.0,1859.8
2022-06-08,31138.0,1814.6
2022-06-09,30225.0,1793.300041
2022-06-10,30112.0,1789.7
2022-06-11,29104.0,1663.5
2022-06-12,28442.0,1533.7
2022-06-13,26636.0,1437.5
2022-06-14,22500.0,1211.3
2022-06-15,22143.0,1208.4
2022-06-16,22594.0,1238.2
2022-06-17,20400.0,1068.8
2022-06-18,20413.0,1084.273366
2022-06-19,18964.0,995.08
2022-06-20,20543.45566,1126.8
2022-06-21,20554.0,1126.8
2022-06-22,20689.23205,1124.6
2022-06-23,19952.0,1048.3
2022-06-24,21076.0,1142.721869
2022-06-25,21229.0,1224.49195
2022-06-26,21479.0,1241.781248
2022-06-27,21054.89483,1199.1
2022-06-28,20734.0,1191.7
2022-06-29,20271.0,1143.5
2022-06-30,20112.0,1099.8
2022-07-01,19943.0,1071.2
2022-07-02,19281.0,1059.5
2022-07-03,19230.0,1065.9
2022-07-04,19307.29593,1073.783491
2022-07-05,20233.0,1150.746801
2022-07-06,20168.2875,1131.790685
2022-07-07,20551.246,1185.8
2022-07-08,21597.0,1235.5
2022-07-09,21587.17551,1213.1
2022-07-10,21576.10461,1216.6
2022-07-11,20869.0,1168.653538
2022-07-12,19945.0,1095.656203
2022-07-13,19308.0,1037.176603
2022-07-14,20232.0,1114.929983
2022-07-15,20580.88162,1192.6
2022-07-16,20820.0,1230.7
2022-07-17,21211.84611,1356.492969
2022-07-18,20791.0,1338.589434
2022-07-19,22436.0,1580.9
2022-07-20,23384.0,1541.7
2022-07-21,23214.24295,1521.4
2022-07-22,23150.0,1575.253896
2022-07-23,22685.0,1536.090194
2022-07-24,22442.0,1548.762053
2022-07-25,22578.0,1598.448289
2022-07-26,21305.0,1440.2
2022-07-27,21268.0,1449.8
2022-07-28,22953.2119,1636.134472
2022-07-29,23844.17675,1724.149433
2022-07-30,23782.0,1721.414921
2022-07-31,23640.26791,1697.1
2022-08-01,23291.0,1677.7
2022-08-02,23256.0,1628.937887
2022-08-03,22982.0,1630.978435
2022-08-04,22813.21307,1617.2
2022-08-05,22611.0,1607.1
2022-08-06,23312.0,1735.9
2022-08-07,22929.97521,1689.3
2022-08-08,23177.92133,1699.7
2022-08-09,23817.0,1776.717295
2022-08-10,23141.0,1702.9
2022-08-11,23954.0,1853.90973
2022-08-12,23932.0,1880.158705
2022-08-13,24399.0,1958.5
2022-08-14,24435.0,1982.8
2022-08-15,24303.0,1935.146703
2022-08-16,24091.0,1898.8
2022-08-17,23855.76464,1877.1
2022-08-18,23332.0,1834.0
2022-08-19,23194.0,1846.635918
2022-08-20,20832.0,1609.1
2022-08-21,21139.0,1575.9
2022-08-22,21514.0,1617.8
2022-08-23,21396.0,1624.6
2022-08-24,21528.0,1665.7
2022-08-25,21372.50138,1657.158553
2022-08-26,21562.63486,1695.2
2022-08-27,20256.4614,1508.8
2022-08-28,20044.0,1492.9
2022-08-29,19570.93587,1427.485825
2022-08-30,20299.0,1552.620648
2022-08-31,19825.0,1525.3
2022-09-01,20056.01072,1554.484276
2022-09-02,20142.41711,1586.9
2022-09-03,19969.84381,1576.40939
2022-09-04,19833.70675,1557.3
2022-09-05,20004.0,1579.1
2022-09-06,19789.0,1617.6
2022-09-07,18794.0,1558.818287
2022-09-08,19286.0,1629.657388
2022-09-09,19323.4539,1635.7
2022-09-10,21373.0,1720.3
2022-09-11,21654.41795,1774.9
2022-09-12,21832.92466,1766.308865
2022-09-13,22395.0,1716.2
2022-09-14,20177.0,1574.5
2022-09-15,20236.0,1638.5
2022-09-16,19717.0,1474.2
