Closing Date,Chevron Corporation (NYSE:CVX),Exxon Mobil Corporation (NYSE:XOM),Microsoft Corporation (NasdaqGS:MSFT),Apple Inc. (NasdaqGS:AAPL),Bank of America Corporation (NYSE:BAC),JPMorgan Chase & Co. (NYSE:JPM),Walmart Inc. (NYSE:WMT),Target Corporation (NYSE:TGT),The Coca-Cola Company (NYSE:KO),"PepsiCo, Inc. (NasdaqGS:PEP)",Johnson & Johnson (NYSE:JNJ),Abbott Laboratories (NYSE:ABT),The Procter & Gamble Company (NYSE:PG),Unilever PLC (LSE:ULVR),The Boeing Company (NYSE:BA),Airbus SE (ENXTPA:AIR),Caterpillar Inc. (NYSE:CAT),Deere & Company (NYSE:DE),Wells Fargo & Company (NYSE:WFC),Citigroup Inc. (NYSE:C),"Meta Platforms, Inc. (NasdaqGS:META)",Alphabet Inc. (NasdaqGS:GOOGL)
2021-01-04,84.71,41.50,217.69,129.41,30.03,125.87,146.53,177.63,52.76,144.27,156.50,109.11,137.82,44.61,202.72,89.89,182.15,267.64,29.70,60.14,268.94,86.31
2021-01-05,87.00,43.50,217.90,131.01,30.26,125.65,145.75,180.37,52.18,144.70,158.34,110.46,138.70,44.36,211.63,89.83,183.64,274.28,30.53,61.70,270.97,87.00
2021-01-06,89.80,44.61,212.25,126.60,32.15,131.55,146.66,188.92,50.52,142.93,159.83,110.23,140.16,44.67,211.03,90.17,193.86,290.36,32.69,65.25,263.31,86.14
2021-01-07,90.22,44.96,218.29,130.92,32.86,135.87,146.65,191.10,49.96,142.47,160.37,111.30,138.85,44.47,212.71,89.62,194.23,299.73,33.43,66.02,268.74,88.72
2021-01-08,91.08,45.46,219.62,132.05,32.53,136.02,146.63,193.60,51.08,144.18,160.04,111.61,138.79,44.5,209.90,90.1,194.26,293.91,33.19,65.37,267.57,89.89
2021-01-11,91.60,46.84,217.49,128.98,33.07,138.05,147.29,195.28,50.20,142.09,159.37,110.84,137.85,44.16,206.79,89.78,193.86,294.92,33.24,66.44,256.84,87.81
2021-01-12,93.34,47.88,214.93,128.80,33.66,140.22,148.97,199.10,50.11,141.43,158.13,108.84,137.05,43.21,208.41,89.96,197.54,302.09,33.94,66.67,251.09,86.87
2021-01-13,93.25,48.42,216.34,130.89,33.46,140.35,147.45,196.82,50.16,142.59,157.89,112.15,137.26,43.52,207.21,89.11,195.89,301.22,33.80,66.86,251.64,87.36
2021-01-14,95.49,50.31,213.02,128.91,33.99,141.17,146.97,198.01,49.23,141.76,160.65,110.04,135.80,43.54,209.91,93.25,197.40,302.85,34.75,69.01,245.64,86.55
2021-01-15,92.09,47.89,212.65,127.14,33.01,138.64,144.64,194.80,48.70,141.39,160.30,111.30,134.78,43.94,204.32,92.55,194.62,295.40,32.04,64.23,251.36,86.38
2021-01-19,94.51,48.84,216.44,127.83,32.77,138.04,143.39,188.16,48.51,142.06,162.78,112.57,133.60,43.81,210.71,91.3,194.06,294.99,32.63,63.69,261.10,89.22
2021-01-20,95.38,49.53,224.34,132.03,32.34,135.97,145.51,188.30,48.68,141.33,162.38,112.89,131.93,43.53,211.45,92.41,192.34,300.94,32.46,63.25,267.48,94.00
2021-01-21,92.01,48.11,224.97,136.87,31.77,134.83,144.85,191.27,48.95,139.61,161.73,112.95,131.01,43.53,207.41,89.36,192.19,305.50,32.00,61.87,272.87,94.21
2021-01-22,91.73,47.43,225.95,139.07,31.55,133.79,146.33,191.91,48.49,138.59,163.55,112.84,130.00,43.78,205.84,88.83,191.94,305.17,31.90,61.33,274.50,94.63
2021-01-25,90.90,46.90,229.53,142.92,31.16,132.12,146.20,190.15,48.78,140.18,165.98,114.72,132.24,44.65,203.36,84.87,187.34,298.20,32.24,60.56,278.01,94.71
2021-01-26,89.36,45.87,232.33,143.16,30.94,131.58,147.51,187.70,49.29,141.80,170.48,114.73,133.09,44.23,202.06,85.29,187.21,296.01,31.38,60.91,282.05,95.40
2021-01-27,88.20,45.35,232.90,142.06,29.83,127.86,143.84,178.28,48.53,138.04,167.88,114.29,128.38,43.77,194.03,84.36,180.63,280.73,30.17,59.40,272.14,90.95
2021-01-28,89.02,46.06,238.93,137.09,30.32,130.11,143.75,183.58,49.15,139.19,169.16,120.39,130.36,43.23,197.23,85.15,184.34,292.96,30.81,60.34,265.00,92.66
2021-01-29,85.20,44.84,231.96,131.96,29.65,128.67,140.49,181.17,48.15,136.57,163.13,123.59,128.21,42.4,194.19,83.2,182.84,288.80,29.88,57.99,258.33,91.37
2021-02-01,86.41,44.92,239.65,134.14,29.96,129.62,139.27,183.57,48.48,136.98,162.71,122.54,128.97,42.75,195.84,83.11,184.72,292.21,29.99,58.43,262.01,94.65
2021-02-02,87.06,45.63,239.51,134.99,31.03,133.61,140.77,185.59,48.96,138.38,161.25,120.24,128.79,42.97,200.94,88.59,192.50,302.54,30.75,59.58,267.08,95.96
2021-02-03,88.96,47.42,243.00,133.94,31.58,135.14,141.20,185.11,48.77,138.02,160.50,120.22,128.95,43.36,207.39,89.81,191.45,301.14,31.70,61.10,266.65,102.94
2021-02-04,89.00,48.33,242.01,137.39,32.50,138.25,142.53,188.59,49.01,139.68,161.99,119.74,129.03,40.67,210.64,93.1,191.65,309.27,32.66,62.41,266.49,102.68
2021-02-05,89.26,49.95,242.20,136.76,32.37,137.98,144.36,188.86,49.65,140.96,164.45,124.03,129.57,39.8,207.93,93.42,193.00,309.24,32.56,62.58,268.10,104.44
2021-02-08,91.48,52.10,242.47,136.91,33.09,140.14,145.03,193.95,49.92,140.40,164.92,124.50,129.17,39.55,211.95,93.87,197.45,317.04,33.40,63.65,266.58,104.23
2021-02-09,90.96,50.63,243.77,136.01,32.95,139.58,145.83,194.29,49.70,139.60,166.27,125.15,128.67,39.5,215.12,92.47,197.28,315.33,33.26,63.12,269.45,103.77
2021-02-10,92.52,51.12,242.82,135.39,32.98,139.66,144.13,192.44,49.60,137.70,166.81,125.29,128.22,39.38,211.92,91.69,197.72,313.64,33.20,63.62,271.87,104.32
2021-02-11,92.02,49.84,244.49,135.13,32.88,139.27,144.02,190.41,50.30,134.97,166.06,126.84,128.33,39.03,210.66,91.22,198.35,314.46,32.72,63.20,270.39,104.44
2021-02-12,92.55,50.52,244.99,135.37,33.37,141.25,144.47,191.43,50.69,133.87,166.58,128.23,127.62,39.61,210.98,92.21,197.99,313.00,33.53,63.63,270.50,104.75
2021-02-16,93.13,52.04,243.70,133.19,34.27,144.65,145.66,190.59,50.27,134.38,165.07,128.02,127.92,40.06,217.18,93.8,202.38,317.09,34.79,64.12,273.97,105.54
2021-02-17,95.92,52.85,244.20,130.84,34.41,145.10,147.20,193.60,50.13,134.46,165.66,127.24,128.46,39.8,215.52,93.9,202.30,312.08,36.59,64.76,273.57,105.93
2021-02-18,95.00,52.02,243.79,129.71,34.19,145.59,137.66,191.41,50.77,135.37,165.74,125.41,129.53,39.69,208.48,91.29,199.92,300.25,36.96,63.48,269.39,105.29
2021-02-19,95.80,52.37,240.97,129.87,34.54,148.02,138.34,188.82,50.11,132.51,162.98,123.04,127.12,39.05,217.47,91.77,209.91,330.00,37.83,65.78,261.56,104.44
