Closing Date,Chevron Corporation (NYSE:CVX),Exxon Mobil Corporation (NYSE:XOM),Microsoft Corporation (NasdaqGS:MSFT),Apple Inc. (NasdaqGS:AAPL),Bank of America Corporation (NYSE:BAC),JPMorgan Chase & Co. (NYSE:JPM),Walmart Inc. (NYSE:WMT),Target Corporation (NYSE:TGT),The Coca-Cola Company (NYSE:KO),"PepsiCo, Inc. (NasdaqGS:PEP)",Johnson & Johnson (NYSE:JNJ),Abbott Laboratories (NYSE:ABT),The Procter & Gamble Company (NYSE:PG),Unilever PLC (LSE:ULVR),The Boeing Company (NYSE:BA),Airbus SE (ENXTPA:AIR),Caterpillar Inc. (NYSE:CAT),Deere & Company (NYSE:DE),Wells Fargo & Company (NYSE:WFC),Citigroup Inc. (NYSE:C),"Meta Platforms, Inc. (NasdaqGS:META)",Alphabet Inc. (NasdaqGS:GOOGL)
2022-06-01,176.32,97.84,272.42,148.71,36.67,129.91,125.45,156.52,63.07,166.49,177.71,115.08,145.64,37.05,130.65,108.26,217.57,352.15,45.16,52.39,188.64,113.89
2022-06-02,176.00,97.67,274.58,151.21,36.70,132.00,127.51,160.91,63.73,166.68,177.15,117.51,147.21,37.05,140.50,108.96,220.00,361.08,45.33,52.43,198.86,117.62
2022-06-03,177.60,99.09,270.02,145.38,36.19,130.16,125.32,161.04,62.97,164.85,176.42,116.57,145.89,37.05,139.25,108.68,222.90,361.00,44.82,51.33,190.78,114.54
2022-06-06,176.83,98.84,268.75,146.14,36.15,129.73,124.87,159.67,62.87,165.54,176.40,116.42,145.32,37.18,139.24,111.34,223.63,362.91,45.12,51.40,194.25,116.82
2022-06-07,180.20,103.37,272.50,148.71,36.35,130.07,123.37,155.98,63.25,166.56,178.34,116.88,146.94,36.96,140.82,110.26,227.10,367.84,45.47,52.10,195.65,117.15
2022-06-08,181.13,104.59,270.41,147.96,35.89,128.00,122.30,156.70,62.89,165.73,177.28,114.69,145.11,36.775,139.63,108.32,229.80,355.02,44.63,51.41,196.64,117.19
2022-06-09,177.52,102.33,264.79,142.64,34.51,125.31,121.02,154.55,61.80,162.78,173.71,112.71,142.49,36.38,133.73,105.4,223.67,345.33,42.67,49.97,184.00,114.84
2022-06-10,175.40,100.46,252.99,137.13,33.17,119.55,121.70,149.67,61.41,162.52,172.55,109.63,141.95,36.395,127.00,102,215.18,335.23,40.08,47.71,175.57,111.16
2022-06-13,167.33,95.85,242.26,131.88,32.02,115.99,119.41,144.81,61.34,159.74,170.81,105.91,138.15,36.285,115.86,97.52,206.88,324.90,38.99,45.69,164.26,106.39
2022-06-14,167.55,96.10,244.49,132.76,31.46,114.06,119.46,142.70,59.23,156.12,168.19,102.94,133.84,36.095,122.16,96.36,206.69,326.58,37.43,45.96,163.73,106.72
2022-06-15,164.26,94.89,251.76,135.43,32.05,115.41,119.38,147.44,59.67,157.79,169.99,104.80,132.51,36.27,133.72,96.45,206.00,330.58,38.17,47.58,169.35,109.76
2022-06-16,155.48,91.39,244.97,130.06,31.85,113.43,120.62,142.89,59.07,157.03,170.08,102.07,133.32,35.535,133.36,93,194.79,317.57,37.65,46.89,160.87,106.03
2022-06-17,148.38,86.12,247.65,131.56,31.92,113.03,118.29,139.30,59.43,157.06,169.46,102.53,132.36,35.93,136.80,94.12,192.64,322.72,38.48,46.52,163.74,107.14
2022-06-21,154.59,91.48,253.74,135.87,32.85,115.83,122.17,144.70,60.70,160.71,173.01,104.41,136.37,36.035,136.75,96.08,196.37,329.27,38.99,47.96,157.05,111.54
2022-06-22,147.87,87.86,253.13,135.35,32.60,115.18,120.69,140.81,61.15,162.03,175.74,105.44,138.50,36.095,137.16,92.96,187.83,317.93,38.60,47.20,155.85,111.49
2022-06-23,142.43,85.21,258.86,138.27,32.08,113.92,123.62,146.81,61.88,164.10,179.66,106.21,142.30,36.265,133.97,90.92,178.67,297.51,37.90,46.35,158.75,112.24
2022-06-24,144.77,86.90,267.70,141.66,32.31,117.32,123.72,150.42,63.04,166.13,182.29,109.45,144.35,37.37,141.53,92.5,185.49,310.87,40.76,47.86,170.16,117.98
2022-06-27,147.57,89.03,264.89,141.66,32.35,116.38,124.12,149.61,62.91,166.35,182.12,109.08,143.25,37.34,138.72,93.21,187.59,315.33,40.24,47.83,169.49,115.83
2022-06-28,149.94,91.50,256.48,137.44,32.26,115.82,122.37,144.52,62.28,164.01,176.94,106.97,140.92,37.42,138.70,94.94,187.44,309.16,40.18,47.21,160.68,112.01
2022-06-29,146.98,88.12,260.26,139.23,31.86,115.30,121.92,141.90,62.73,166.73,176.99,109.10,142.20,37.585,138.45,92.21,183.48,300.65,39.71,47.10,163.94,111.70
2022-06-30,144.78,85.64,256.83,136.72,31.13,112.61,121.58,141.23,62.91,166.66,177.51,108.65,143.79,37.21,136.72,92.45,178.76,299.47,39.17,45.99,161.25,108.96
2022-07-01,146.51,87.55,259.58,138.93,31.56,114.05,122.63,142.38,64.38,169.39,179.52,110.22,146.11,38,139.84,95.24,178.29,301.63,39.92,46.87,160.03,108.74
2022-07-05,142.66,84.81,262.85,141.56,31.24,112.62,124.25,145.71,63.28,169.01,178.14,109.30,144.70,38.02,137.70,89.42,173.76,292.13,40.10,46.61,168.19,113.26
2022-07-06,140.78,83.28,266.21,142.92,30.98,111.89,125.13,144.81,63.41,170.70,178.30,108.69,146.05,38.71,136.31,92.66,172.31,289.14,39.50,46.15,169.77,114.57
2022-07-07,143.52,85.94,268.40,146.35,31.86,114.72,125.32,149.96,62.91,170.36,178.50,109.49,146.00,38.255,139.97,94.68,180.28,303.97,40.12,46.93,172.19,118.78
2022-07-08,142.77,86.08,267.66,147.04,31.79,114.36,125.40,147.99,63.14,171.88,178.28,109.26,145.02,38.36,139.07,96.04,179.10,304.64,40.18,46.82,170.88,119.35
2022-07-11,141.51,85.64,264.51,144.87,31.46,112.86,125.45,146.39,62.94,170.47,178.35,108.89,146.04,38.52,136.99,96.71,175.02,298.41,39.79,46.19,162.88,115.68
2022-07-12,138.92,84.50,253.67,145.86,31.36,112.97,125.07,144.56,62.67,169.50,175.85,108.30,144.75,38.905,147.15,100.46,174.49,295.96,39.60,46.13,163.27,114.02
2022-07-13,137.99,84.84,252.72,145.49,30.84,111.91,125.37,145.44,62.38,170.10,175.44,106.21,145.70,38.74,143.95,101.28,173.87,296.78,39.07,45.50,163.49,111.35
2022-07-14,135.94,83.14,254.08,148.47,30.13,108.00,127.82,146.29,62.18,170.98,175.68,105.71,145.27,38.805,147.15,99.62,169.94,294.33,38.74,44.14,158.05,110.37
2022-07-15,137.65,84.54,256.72,150.17,32.25,112.95,129.07,146.67,62.50,171.12,178.23,108.82,145.07,39.08,147.74,103.72,173.38,297.70,41.13,49.98,164.70,111.78
2022-07-18,139.58,86.10,254.25,147.07,32.26,111.79,128.77,149.36,61.65,168.26,174.23,107.02,143.31,38.65,147.72,104.34,173.49,297.95,41.19,50.07,167.23,109.03
2022-07-19,144.61,88.27,259.53,151.00,33.35,114.56,129.56,153.36,62.53,170.06,171.69,109.93,144.04,39.43,156.13,105.84,179.49,311.59,42.90,52.13,175.78,113.81
2022-07-20,146.52,89.24,262.27,153.04,33.36,114.54,130.64,156.50,61.50,168.26,170.71,108.23,141.55,38.93,158.38,104.66,179.97,315.36,42.72,52.45,183.09,113.90
2022-07-21,145.40,87.75,264.84,155.35,33.65,115.32,132.55,158.66,61.36,168.51,171.31,110.69,140.77,38.89,161.41,104.56,180.99,316.54,43.28,52.59,183.17,114.34
