,date,cash,position
0,2020-01-02,0.0,no position
19,2020-01-30,0.0,long A short B
20,2020-01-31,-0.013992831101962366,long B short A
31,2020-02-18,-0.0051280599504170965,long A short B
34,2020-02-21,-0.0674426186657815,long B short A
51,2020-03-17,-0.08356930396565865,long A short B
71,2020-04-15,-0.038366969308953,long B short A
72,2020-04-16,-0.09313258408823089,long A short B
74,2020-04-20,-0.137504140308236,long B short A
92,2020-05-14,-0.14059332349583897,long A short B
97,2020-05-21,-0.19274271318273684,long B short A
107,2020-06-05,-0.20995712618521445,long A short B
113,2020-06-15,-0.22766225983196797,long B short A
114,2020-06-16,-0.2620441334460768,long A short B
124,2020-06-30,-0.2825251997366003,long B short A
170,2020-09-03,-0.10122609601278398,long A short B
184,2020-09-24,-0.13935052771555334,long B short A
189,2020-10-01,-0.13852902208529727,long A short B
209,2020-10-29,-0.12526940335952652,long B short A
211,2020-11-02,-0.16473271812991186,long A short B
213,2020-11-04,-0.2208817836025876,long B short A
228,2020-11-25,-0.24671489122473034,long A short B
230,2020-11-30,-0.2729097814506165,long B short A
231,2020-12-01,-0.29581572222926766,long A short B
243,2020-12-17,-0.29854909888343784,long B short A
