,date,cash,position
0,2020-01-02,0.0,no position
3,2020-01-07,0.0,long B short A
16,2020-01-27,-0.006138173409734549,long A short B
39,2020-02-28,0.04484656368787476,long B short A
43,2020-03-05,-0.022255855568337424,long A short B
52,2020-03-18,-0.11678547657354343,long B short A
65,2020-04-06,-0.35517399689104145,long A short B
78,2020-04-24,-0.35337894249336266,long B short A
79,2020-04-27,-0.3796076631907557,long A short B
80,2020-04-28,-0.40081931331285325,long B short A
85,2020-05-05,-0.4370767552481549,long A short B
89,2020-05-11,-0.4522082599262873,long B short A
91,2020-05-13,-0.4854890903052951,long A short B
94,2020-05-18,-0.5234103747996919,long B short A
116,2020-06-18,-0.481971526427456,long A short B
146,2020-07-31,-0.4658304907507169,long B short A
155,2020-08-13,-0.5137797660342578,long A short B
171,2020-09-04,-0.5102480183569291,long B short A
190,2020-10-02,-0.5352505762735973,long A short B
198,2020-10-14,-0.5460040489669957,long B short A
213,2020-11-04,-0.5567685570387706,long A short B
229,2020-11-27,-0.4939592459729898,long B short A
