,date,cash,position
0,2020-01-02,0.0,long A short B
4,2020-01-08,-0.010614747183604223,long B short A
9,2020-01-15,-0.01758698598504793,long A short B
24,2020-02-06,-0.01107733121617649,long B short A
35,2020-02-24,-0.027428809385451558,long A short B
52,2020-03-18,-0.027864980412765306,long B short A
57,2020-03-25,-0.1064096813200841,long A short B
59,2020-03-27,-0.13664729913829454,long B short A
86,2020-05-06,-0.09248800899112908,long A short B
87,2020-05-07,-0.10399874152135347,long B short A
91,2020-05-13,-0.11153149200516843,long A short B
98,2020-05-22,-0.132561754715665,long B short A
101,2020-05-28,-0.15160268724064174,long A short B
117,2020-06-19,-0.1878192794480107,long B short A
122,2020-06-26,-0.2176188200809417,long A short B
141,2020-07-24,-0.20800095250851136,long B short A
158,2020-08-18,-0.1599479939832733,long A short B
179,2020-09-17,-0.15045645624324777,long B short A
183,2020-09-23,-0.1738518909367599,long A short B
196,2020-10-12,-0.17329967633926913,long B short A
197,2020-10-13,-0.18552186004136217,long A short B
207,2020-10-27,-0.15582145904090972,long B short A
213,2020-11-04,-0.17221139741417346,long A short B
218,2020-11-11,-0.1818345523646343,long B short A
224,2020-11-19,-0.20179768147279198,long A short B
227,2020-11-24,-0.20877540249276016,long B short A
252,2020-12-31,-0.19329037551765538,long A short B
