,date,cash,position
0,2022-06-01,0.0,no position
5,2022-06-08,0.0,long B short A
8,2022-06-13,-0.05224705587075107,long A short B
16,2022-06-24,-0.05489334488024333,long B short A
53,2022-08-17,-0.016931613157453285,long A short B
67,2022-09-07,-0.018074919399689193,long B short A
74,2022-09-16,-0.03851846823518024,long A short B
88,2022-10-06,0.0009701106360182621,long B short A
94,2022-10-14,-0.0541278699736214,long A short B
96,2022-10-18,-0.1048927736578591,long B short A
108,2022-11-03,-0.13760052048636062,long A short B
114,2022-11-11,-0.20898854033208814,long B short A
117,2022-11-16,-0.3534977816366318,long A short B
144,2022-12-27,-0.3212737510605077,long B short A
175,2023-02-10,-0.15252700467238256,long A short B
214,2023-04-10,-0.0992830681115553,long B short A
217,2023-04-13,-0.12641143521370424,long A short B
236,2023-05-10,-0.07201031411649517,long B short A
245,2023-05-23,-0.11122939876057814,long A short B
262,2023-06-16,0.02817000265703129,long B short A
