,date,cash,position
0,2020-01-02,0.0,no position
25,2020-02-07,0.0,long B short A
36,2020-02-25,-0.015957612632067963,long A short B
58,2020-03-26,0.08417369142516051,long B short A
61,2020-03-31,0.01730347748441652,long A short B
67,2020-04-08,-0.03576690575004804,long B short A
98,2020-05-22,0.06670575547200919,long A short B
108,2020-06-08,0.00031709242361799284,long B short A
110,2020-06-10,-0.018390551373837383,long A short B
141,2020-07-24,0.03388855614239539,long B short A
167,2020-08-31,0.1981972606809439,long A short B
182,2020-09-22,0.17532794556052167,long B short A
192,2020-10-06,0.18665631641585456,long A short B
194,2020-10-08,0.17006831486271423,long B short A
196,2020-10-12,0.1663669232655547,long A short B
223,2020-11-18,0.1860654959546988,long B short A
239,2020-12-11,0.2292118333603721,long A short B
247,2020-12-23,0.18486147519835505,long B short A
