,date,cash,position
0,2022-06-01,0.0,no position
10,2022-06-15,0.0,long B short A
41,2022-08-01,0.07709781631225354,long A short B
42,2022-08-02,0.03357631997726429,long B short A
54,2022-08-18,0.062536706727915,long A short B
56,2022-08-22,0.02972757887057398,long B short A
69,2022-09-09,0.04862621682191026,long A short B
81,2022-09-27,0.004115050250270258,long B short A
84,2022-09-30,-0.011313444694200925,long A short B
118,2022-11-17,0.1562190456714614,long B short A
138,2022-12-16,0.19015165710592719,long A short B
168,2023-02-01,0.2719381282336091,long B short A
189,2023-03-03,0.2565206812299774,long A short B
193,2023-03-09,0.22090574342009361,long B short A
208,2023-03-30,0.2470015208784968,long A short B
211,2023-04-04,0.23038746022518986,long B short A
212,2023-04-05,0.188463881236137,long A short B
230,2023-05-02,0.16935329622924655,long B short A
240,2023-05-16,0.1512755999118447,long A short B
261,2023-06-15,0.22571622382996992,long B short A
