,date,cash,position
0,2022-06-01,0.0,no position
20,2022-06-30,0.0,long A short B
55,2022-08-19,-0.009382303637227807,long B short A
71,2022-09-13,-0.007003215706157917,long A short B
81,2022-09-27,-0.021768193398173707,long B short A
97,2022-10-19,-0.002568396205955281,long A short B
121,2022-11-22,0.003813715796759709,long B short A
126,2022-11-30,-0.007180115878517412,long A short B
134,2022-12-12,-0.03400030189621539,long B short A
144,2022-12-27,-0.05355710968064109,long A short B
150,2023-01-05,-0.06910250553490194,long B short A
160,2023-01-20,-0.06349245107998769,long A short B
163,2023-01-25,-0.07231814567226102,long B short A
164,2023-01-26,-0.0807648302618329,long A short B
165,2023-01-27,-0.10691866794216232,long B short A
183,2023-02-23,-0.05141139937516748,long A short B
207,2023-03-29,-0.041945506754569095,long B short A
217,2023-04-13,-0.04925776586186714,long A short B
221,2023-04-19,-0.06436140613101315,long B short A
232,2023-05-04,-0.06997345173923364,long A short B
244,2023-05-22,-0.08407956562045449,long B short A
245,2023-05-23,-0.09938604058461209,long A short B
246,2023-05-24,-0.10789253354637651,long B short A
249,2023-05-30,-0.11450042428277207,long A short B
266,2023-06-23,-0.11029681739899644,long B short A
