,date,cash,position
0,2020-01-02,0.0,long A short B
1,2020-01-03,0.0,long A short B
2,2020-01-06,0.0,long A short B
3,2020-01-07,0.0,long A short B
4,2020-01-08,-0.010614747183604223,long B short A
5,2020-01-09,-0.010614747183604223,long B short A
6,2020-01-10,-0.010614747183604223,long B short A
7,2020-01-13,-0.010614747183604223,long B short A
8,2020-01-14,-0.010614747183604223,long B short A
9,2020-01-15,-0.01758698598504793,long A short B
10,2020-01-16,-0.01758698598504793,long A short B
11,2020-01-17,-0.01758698598504793,long A short B
12,2020-01-21,-0.01758698598504793,long A short B
13,2020-01-22,-0.01758698598504793,long A short B
14,2020-01-23,-0.01758698598504793,long A short B
15,2020-01-24,-0.01758698598504793,long A short B
16,2020-01-27,-0.01758698598504793,long A short B
17,2020-01-28,-0.01758698598504793,long A short B
18,2020-01-29,-0.01758698598504793,long A short B
19,2020-01-30,-0.01758698598504793,long A short B
20,2020-01-31,-0.01758698598504793,long A short B
21,2020-02-03,-0.01758698598504793,long A short B
22,2020-02-04,-0.01758698598504793,long A short B
23,2020-02-05,-0.01758698598504793,long A short B
24,2020-02-06,-0.01107733121617649,long B short A
25,2020-02-07,-0.01107733121617649,long B short A
26,2020-02-10,-0.01107733121617649,long B short A
27,2020-02-11,-0.01107733121617649,long B short A
28,2020-02-12,-0.01107733121617649,long B short A
29,2020-02-13,-0.01107733121617649,long B short A
30,2020-02-14,-0.01107733121617649,long B short A
31,2020-02-18,-0.01107733121617649,long B short A
32,2020-02-19,-0.01107733121617649,long B short A
33,2020-02-20,-0.01107733121617649,long B short A
34,2020-02-21,-0.01107733121617649,long B short A
35,2020-02-24,-0.027428809385451558,long A short B
36,2020-02-25,-0.027428809385451558,long A short B
37,2020-02-26,-0.027428809385451558,long A short B
38,2020-02-27,-0.027428809385451558,long A short B
39,2020-02-28,-0.027428809385451558,long A short B
40,2020-03-02,-0.027428809385451558,long A short B
41,2020-03-03,-0.027428809385451558,long A short B
42,2020-03-04,-0.027428809385451558,long A short B
43,2020-03-05,-0.027428809385451558,long A short B
44,2020-03-06,-0.027428809385451558,long A short B
45,2020-03-09,-0.027428809385451558,long A short B
46,2020-03-10,-0.027428809385451558,long A short B
47,2020-03-11,-0.027428809385451558,long A short B
48,2020-03-12,-0.027428809385451558,long A short B
49,2020-03-13,-0.027428809385451558,long A short B
50,2020-03-16,-0.027428809385451558,long A short B
51,2020-03-17,-0.027428809385451558,long A short B
52,2020-03-18,-0.027864980412765306,long B short A
53,2020-03-19,-0.027864980412765306,long B short A
54,2020-03-20,-0.027864980412765306,long B short A
55,2020-03-23,-0.027864980412765306,long B short A
56,2020-03-24,-0.027864980412765306,long B short A
57,2020-03-25,-0.1064096813200841,long A short B
58,2020-03-26,-0.1064096813200841,long A short B
59,2020-03-27,-0.13664729913829454,long B short A
60,2020-03-30,-0.13664729913829454,long B short A
61,2020-03-31,-0.13664729913829454,long B short A
62,2020-04-01,-0.13664729913829454,long B short A
63,2020-04-02,-0.13664729913829454,long B short A
64,2020-04-03,-0.13664729913829454,long B short A
65,2020-04-06,-0.13664729913829454,long B short A
66,2020-04-07,-0.13664729913829454,long B short A
67,2020-04-08,-0.13664729913829454,long B short A
68,2020-04-09,-0.13664729913829454,long B short A
69,2020-04-13,-0.13664729913829454,long B short A
70,2020-04-14,-0.13664729913829454,long B short A
71,2020-04-15,-0.13664729913829454,long B short A
72,2020-04-16,-0.13664729913829454,long B short A
73,2020-04-17,-0.13664729913829454,long B short A
74,2020-04-20,-0.13664729913829454,long B short A
75,2020-04-21,-0.13664729913829454,long B short A
76,2020-04-22,-0.13664729913829454,long B short A
77,2020-04-23,-0.13664729913829454,long B short A
78,2020-04-24,-0.13664729913829454,long B short A
79,2020-04-27,-0.13664729913829454,long B short A
80,2020-04-28,-0.13664729913829454,long B short A
81,2020-04-29,-0.13664729913829454,long B short A
82,2020-04-30,-0.13664729913829454,long B short A
83,2020-05-01,-0.13664729913829454,long B short A
84,2020-05-04,-0.13664729913829454,long B short A
85,2020-05-05,-0.13664729913829454,long B short A
86,2020-05-06,-0.09248800899112908,long A short B
87,2020-05-07,-0.10399874152135347,long B short A
88,2020-05-08,-0.10399874152135347,long B short A
89,2020-05-11,-0.10399874152135347,long B short A
90,2020-05-12,-0.10399874152135347,long B short A
91,2020-05-13,-0.11153149200516843,long A short B
92,2020-05-14,-0.11153149200516843,long A short B
93,2020-05-15,-0.11153149200516843,long A short B
94,2020-05-18,-0.11153149200516843,long A short B
95,2020-05-19,-0.11153149200516843,long A short B
96,2020-05-20,-0.11153149200516843,long A short B
97,2020-05-21,-0.11153149200516843,long A short B
98,2020-05-22,-0.132561754715665,long B short A
