,date,cash,position
0,2022-06-01,0.0,no position
10,2022-06-15,0.0,long B short A
51,2022-08-15,0.06995868085308388,long A short B
77,2022-09-21,0.07406158285627207,long B short A
78,2022-09-22,0.06583252894472658,long A short B
90,2022-10-10,0.06651769145778275,long B short A
94,2022-10-14,0.041384865773828494,long A short B
96,2022-10-18,0.009870559543239565,long B short A
99,2022-10-21,-0.016648308628907316,long A short B
116,2022-11-15,-0.0077104458764356565,long B short A
117,2022-11-16,-0.018083007798828987,long A short B
141,2022-12-21,0.09997311969252287,long B short A
176,2023-02-13,0.11208623283604346,long A short B
206,2023-03-28,0.2272834229469325,long B short A
223,2023-04-21,0.1990449521915547,long A short B
239,2023-05-15,0.2355841768350917,long B short A
263,2023-06-20,0.2257250379144473,long A short B
