,date,cash,position
0,2022-06-01,0.0,long B short A
14,2022-06-22,0.03951713996930195,no position
45,2022-08-05,0.03951713996930195,long A short B
88,2022-10-06,-0.0313954879593652,no position
106,2022-11-01,-0.0313954879593652,long B short A
107,2022-11-02,-0.02037232721061777,no position
118,2022-11-17,-0.02037232721061777,long B short A
124,2022-11-28,0.039887109750766925,no position
159,2023-01-19,0.039887109750766925,long B short A
162,2023-01-24,0.011377049594482713,no position
167,2023-01-31,0.011377049594482713,long B short A
177,2023-02-14,0.010811212887645638,no position
246,2023-05-24,0.010811212887645638,long B short A
252,2023-06-02,-0.021939663011282917,no position
260,2023-06-14,-0.021939663011282917,long B short A
264,2023-06-21,0.029576786863927396,no position
