,date,cash,position
0,2020-01-02,0.0,no position
24,2020-02-06,0.0,long A short B
26,2020-02-10,-0.01767622460010898,no position
29,2020-02-13,-0.01767622460010898,long A short B
33,2020-02-20,-0.008773803085393439,no position
35,2020-02-24,-0.008773803085393439,long A short B
37,2020-02-26,-0.00968824910039956,no position
41,2020-03-03,-0.00968824910039956,long A short B
45,2020-03-09,-0.12366900243399392,no position
51,2020-03-17,-0.12366900243399392,long A short B
52,2020-03-18,-0.025816943943446802,no position
138,2020-07-21,-0.025816943943446802,long A short B
140,2020-07-23,-0.02659275208425882,no position
141,2020-07-24,-0.02659275208425882,long A short B
148,2020-08-04,-0.0863798006275065,no position
155,2020-08-13,-0.0863798006275065,long A short B
161,2020-08-21,-0.15507404245136058,no position
168,2020-09-01,-0.15507404245136058,long A short B
179,2020-09-17,-0.11186653397745339,no position
237,2020-12-09,-0.11186653397745339,long B short A
242,2020-12-16,-0.08401797623215757,no position
