,date,cash,position
0,2022-06-01,0.0,no position
4,2022-06-07,0.0,long A short B
41,2022-08-01,-0.02326573925953923,no position
89,2022-10-07,-0.02326573925953923,long A short B
91,2022-10-11,-0.011146296570414549,no position
93,2022-10-13,-0.011146296570414549,long A short B
100,2022-10-24,-0.010082863551982513,no position
153,2023-01-10,-0.010082863551982513,long A short B
155,2023-01-12,-0.032606398808267656,no position
159,2023-01-19,-0.032606398808267656,long A short B
167,2023-01-31,-0.10255842196562526,no position
181,2023-02-21,-0.10255842196562526,long A short B
195,2023-03-13,-0.07513409785119407,no position
228,2023-04-28,-0.07513409785119407,long A short B
232,2023-05-04,-0.04451459737927799,no position
