,date,cash,position
0,2020-01-02,0.0,no position
24,2020-02-06,0.0,long B short A
25,2020-02-07,-0.00160243741580679,no position
37,2020-02-26,-0.00160243741580679,long B short A
38,2020-02-27,-0.021898081502266464,no position
39,2020-02-28,-0.021898081502266464,long B short A
45,2020-03-09,-0.07239416915119357,no position
52,2020-03-18,-0.07239416915119357,long B short A
53,2020-03-19,-0.07534784104367631,no position
158,2020-08-18,-0.07534784104367631,long B short A
179,2020-09-17,-0.08359005155269728,no position
193,2020-10-07,-0.08359005155269728,long B short A
201,2020-10-19,-0.052093589703634535,no position
217,2020-11-10,-0.052093589703634535,long B short A
218,2020-11-11,-0.05505966352784597,no position
228,2020-11-25,-0.05505966352784597,long B short A
235,2020-12-07,-0.037877113104247684,no position
245,2020-12-21,-0.037877113104247684,long A short B
