,date,cash,position
0,2020-01-02,0.0,no position
18,2020-01-29,0.0,long B short A
20,2020-01-31,0.008478418864580561,no position
23,2020-02-05,0.008478418864580561,long B short A
25,2020-02-07,0.008649952171115416,no position
38,2020-02-27,0.008649952171115416,long B short A
39,2020-02-28,0.030361315242238618,no position
52,2020-03-18,0.030361315242238618,long B short A
56,2020-03-24,-0.012213161710590725,no position
58,2020-03-26,-0.012213161710590725,long B short A
65,2020-04-06,0.017507380252972382,no position
136,2020-07-17,0.017507380252972382,long B short A
137,2020-07-20,0.04177246241593302,no position
140,2020-07-23,0.04177246241593302,long B short A
142,2020-07-27,0.046486890248118584,no position
148,2020-08-04,0.046486890248118584,long A short B
151,2020-08-07,0.042588209008945555,no position
153,2020-08-11,0.042588209008945555,long A short B
162,2020-08-24,0.052062616508724346,no position
198,2020-10-14,0.052062616508724346,long B short A
200,2020-10-16,0.06543987578471899,no position
204,2020-10-22,0.06543987578471899,long B short A
231,2020-12-01,0.05515834026033417,no position
