,date,cash,position
0,2022-06-01,0.0,no position
1,2022-06-02,0.0,long B short A
34,2022-07-21,-0.05350928350944706,no position
84,2022-09-30,-0.05350928350944706,long B short A
89,2022-10-07,-0.01810072483576164,no position
112,2022-11-09,-0.01810072483576164,long B short A
115,2022-11-14,0.12213519569806053,no position
120,2022-11-21,0.12213519569806053,long B short A
121,2022-11-22,0.11755005564849874,no position
122,2022-11-23,0.11755005564849874,long B short A
123,2022-11-25,0.11310193613911856,no position
124,2022-11-28,0.11310193613911856,long B short A
148,2023-01-03,0.09517628343345486,no position
168,2023-02-01,0.09517628343345486,long A short B
181,2023-02-21,0.17489116978854113,no position
220,2023-04-18,0.17489116978854113,long B short A
249,2023-05-30,0.024321059448315197,no position
262,2023-06-16,0.024321059448315197,long B short A
