,date,cash,position
0,2020-01-02,0.0,no position
39,2020-02-28,0.0,long B short A
44,2020-03-06,-0.06004793058180269,no position
49,2020-03-13,-0.06004793058180269,long B short A
52,2020-03-18,-0.11655044802396297,no position
57,2020-03-25,-0.11655044802396297,long B short A
65,2020-04-06,-0.19785938509242662,no position
66,2020-04-07,-0.19785938509242662,long B short A
80,2020-04-28,-0.10729262253033056,no position
159,2020-08-19,-0.10729262253033056,long A short B
161,2020-08-21,-0.10935771273662986,no position
166,2020-08-28,-0.10935771273662986,long A short B
169,2020-09-02,-0.05006075189392689,no position
229,2020-11-27,-0.05006075189392689,long A short B
