,date,cash,position
0,2022-06-01,0.0,no position
4,2022-06-07,0.0,long B short A
27,2022-07-12,-0.005808807425564666,no position
50,2022-08-12,-0.005808807425564666,long A short B
64,2022-09-01,0.009760092534037312,no position
107,2022-11-02,0.009760092534037312,long B short A
123,2022-11-25,-0.0225765223707306,no position
141,2022-12-21,-0.0225765223707306,long B short A
159,2023-01-19,-0.025344114636771664,no position
188,2023-03-02,-0.025344114636771664,long B short A
194,2023-03-10,-0.06889421755597169,no position
205,2023-03-27,-0.06889421755597169,long B short A
245,2023-05-23,-0.1287751396829826,no position
